Name,ItemID,DisplayName,Description,ItemType,Weight,MaxStack,EquipSlot,BaseValue,bHasDurability,MaxDurability,CurrentDurability,Icon,WorldMeshClass
QuillPen,QuillPen,깃털 펜,"깃털 펜. 일지 기록, 지도 작성, 서류 서명에 쓰인다.",General,0.05,1,None,15,False,100.0,100.0,,
Glasses,Glasses,학자 안경,"학자용 안경. 착용하면 흐릿한 문자와 지도가 선명해진다.",Equipment,0.1,1,Head,80,True,60.0,60.0,,
PoisonDagger,PoisonDagger,독 단검,"독이 발린 암살용 단검. 그림자 속 기습에 최적화되었다.",Equipment,1.0,1,MainHand,280,True,100.0,100.0,,
Lockpick,Lockpick,자물쇠 따개,"정밀한 자물쇠 따개. 잠긴 상자나 감옥 문을 해제한다.",General,0.1,16,None,40,False,100.0,100.0,,
SmokeVial,SmokeVial,연막병,"투척용 농축 연막병. 깨뜨리면 짙은 연막이 시야를 가린다.",Consumable,0.3,8,None,50,False,100.0,100.0,,
HolyWater,HolyWater,성수,"신성한 축복이 깃든 성수. 상처를 치유하고 부정함을 정화한다.",Consumable,0.5,8,None,70,False,100.0,100.0,,
HolyBook,HolyBook,신성 경전,"여신의 교단 경전. 성직자가 기도를 올릴 때 낭독한다.",General,1.5,1,None,150,False,100.0,100.0,,
ForgeHammer,ForgeHammer,대장간 망치,"단단한 강철 대장간 망치. 쇠를 두드려 장비를 벼린다.",Equipment,3.5,1,MainHand,180,True,300.0,300.0,,
Whetstone,Whetstone,숫돌,"무기 연마용 숫돌. 무딘 칼날을 갈아 내구도를 회복한다.",General,0.8,8,None,35,False,100.0,100.0,,
AlchemistryVial,AlchemistryVial,연금술 시험관,"유리 연금술 시험관. 약물 추출과 화학 반응 교반에 쓰인다.",General,0.2,16,None,20,False,100.0,100.0,,
HerbExtract,HerbExtract,약초 추출액,"농축 약초 추출액. 강력한 포션과 해독제의 핵심 원료다.",Consumable,0.3,16,None,40,False,100.0,100.0,,
Antidote,Antidote,해독제,"만능 해독제. 맹독에 중독되었을 때 마시면 즉시 중화된다.",Consumable,0.4,8,None,55,False,100.0,100.0,,
Lute,Lute,류트,"맑은 음색의 악기 류트. 연주하면 아군의 사기가 진작된다.",Equipment,2.0,1,MainHand,220,True,120.0,120.0,,
FeatherCap,FeatherCap,깃털 모자,"깃털 장식 모자. 착용하면 화려한 자태로 호감을 얻는다.",Equipment,0.3,1,Head,90,True,80.0,80.0,,
WineCup,WineCup,와인 잔,"은제 와인 잔. 축배를 들거나 시를 읊을 때 사용한다.",General,0.4,1,None,30,False,100.0,100.0,,
TrapDisarmKit,TrapDisarmKit,함정 해제 키트,"트랩 해체 도구. 위험한 덫과 와이어를 안전하게 해체한다.",General,1.5,1,None,160,False,100.0,100.0,,
HuntingBow,HuntingBow,사냥 활,"탄력 있는 사냥용 활. 먼 거리의 사냥감이나 적을 저격한다.",Equipment,2.5,1,MainHand,240,True,150.0,150.0,,
TarBucket,TarBucket,타르 통,"방수용 역청 타르 통. 배의 틈새를 메워 침수를 막는다.",General,3.0,1,None,45,False,100.0,100.0,,
ShipBoard,ShipBoard,선체 목판,"단단한 보수용 목판. 파손된 갑판과 벽을 수리한다.",General,2.0,16,None,25,False,100.0,100.0,,
RepairHammer,RepairHammer,수리 망치,"목수 망치. 못을 박고 판자를 고정해 구조물을 수선한다.",Equipment,2.8,1,MainHand,130,True,250.0,250.0,,
CrystalBall,CrystalBall,점성 수정구,"미래를 비추는 신비한 수정구. 점성술사가 운명을 점친다.",General,1.5,1,None,260,False,100.0,100.0,,
ProphecyScroll,ProphecyScroll,예언 두루마리,"불길한 예언이 기록된 점괘 두루마리. 위기를 알린다.",Quest,0.1,1,None,0,False,100.0,100.0,,
StarPendant,StarPendant,별빛 펜던트,"별빛을 담은 펜던트. 착용하면 길을 잃지 않는 가호를 받는다.",Equipment,0.1,1,Accessory,200,True,100.0,100.0,,
ManaPotion,ManaPotion,마나 물약,"푸른 마나 물약. 마시면 소모된 마력이 즉시 회복된다.",Consumable,0.5,8,None,60,False,100.0,100.0,,
Rations,Rations,비상 식량,"건조 육포와 비스킷. 굶주림을 달래는 여행용 비상식이다.",Consumable,0.6,16,None,15,False,100.0,100.0,,
SpellScroll,SpellScroll,주문 스크롤,"주문이 봉인된 스크롤. 찢어서 일회성 마법을 발동한다.",Consumable,0.2,4,None,120,False,100.0,100.0,,
Rope,Rope,밧줄,"튼튼한 마 밧줄. 높은 곳을 오르내리거나 결박할 때 쓴다.",General,1.5,4,None,20,False,100.0,100.0,,
Lantern,Lantern,기름 랜턴,"기름 랜턴. 손에 들면 횃불보다 오래 어둠을 밝혀준다.",Equipment,1.5,1,OffHand,35,True,150.0,150.0,,
SkinningKnife,SkinningKnife,가죽칼,"가죽 벗기기용 나이프. 야생 동물 해체와 가죽 채집에 쓴다.",Equipment,0.8,1,MainHand,110,True,140.0,140.0,,
Arrow_Bundle,Arrow_Bundle,화살 다발,"화살 묶음. 활을 사용할 때 탄약으로 소모된다.",General,1.0,32,None,30,False,100.0,100.0,,
IronOre,IronOre,철광석,"채굴된 철광석. 제련하여 철 주괴로 만드는 원자재다.",General,2.0,32,None,15,False,100.0,100.0,,
Plank,Plank,목재 판자,"가공된 목재 판자. 가구와 선박 제작·수리에 쓰인다.",General,1.5,32,None,10,False,100.0,100.0,,
Leather,Leather,질긴 가죽,"무두질된 가죽. 방어구와 도구 손잡이 제작에 쓰인다.",General,0.8,32,None,25,False,100.0,100.0,,
